site;year;count;count_rendements
8;2006;120048,0;0,024090629905138883
8;2007;124285,0;0,03529421564707458
8;2008;129935,0;0,04546003137949062
8;2009;117224,0;-0,09782583599492056
8;2010;107337,0;-0,08434279669692213
8;2011;97451,0;-0,09210244370533927
8;2012;105925,0;0,08695652173913038
8;2013;90389,0;-0,14666981354732123
8;2014;108750,0;0,20313312460587007
8;2015;125698,0;0,1558436781609196
8;2016;111574,0;-0,11236455631752296
21;1980;;0,0
21;1981;;0,0
21;1982;;0,0
21;1983;;0,0
21;1984;;0,0
21;1985;;0,0
21;1986;;0,0
21;1987;;0,0
21;1988;;0,0
21;1989;;0,0
21;1990;;0,0
21;1991;;0,0
21;1992;;0,0
21;1993;;0,0
21;1994;;0,0
21;1995;;0,0
21;1996;;0,0
21;1997;;0,0
21;1998;;0,0
21;1999;;0,0
21;2000;;0,0
21;2001;;0,0
21;2002;;0,0
21;2003;;0,0
21;2004;16070,0;-0,8559700288597702
21;2005;16874,0;0,050031113876789046
21;2006;14463,0;-0,1428825411876259
21;2007;16231,0;0,12224296480674823
21;2008;15588,0;-0,039615550489803475
21;2009;14946,0;-0,04118552732871439
21;2010;11731,0;-0,21510772112939913
21;2011;15106,0;0,2876992583752451
21;2012;14142,0;-0,06381570236991929
21;2013;16392,0;0,1591005515485786
21;2014;14785,0;-0,09803562713518787
21;2015;;0,0
21;2016;;0,0
19;1980;;0,0
19;1981;;0,0
19;1982;;0,0
19;1983;;0,0
19;1984;;0,0
19;1985;;0,0
19;1986;;0,0
19;1987;;0,0
19;1988;;0,0
19;1989;;0,0
19;1990;;0,0
19;1991;;0,0
19;1992;;0,0
19;1993;;0,0
19;1994;;0,0
19;1995;;0,0
19;1996;;0,0
19;1997;;0,0
19;1998;;0,0
19;1999;;0,0
19;2000;;0,0
19;2001;;0,0
19;2002;;0,0
19;2003;;0,0
19;2004;;0,0
19;2005;30429,0;1,0580994250929998
19;2006;38036,0;0,24999178415327483
19;2007;20692,0;-0,45598906299295405
19;2008;26778,0;0,29412333268896185
19;2009;16127,0;-0,3977518858764657
19;2010;20996,0;0,301916041421219
19;2011;21909,0;0,04348447323299687
19;2012;21909,0;0,0
19;2013;17345,0;-0,2083162170797389
19;2014;23126,0;0,3332948976650332
19;2015;23126,0;0,0
