year,count,count_rendements
1989,26084.0,0.8175736882447215
1990,24779.0,-0.050030670142616196
1991,29214.0,0.17898220267161702
1992,23736.0,-0.18751283631135762
1993,16694.0,-0.2966801482979441
1994,26605.0,0.5936863543788187
1995,26345.0,-0.009772599135500881
1996,35474.0,0.34651736572404634
1997,35474.0,0.0
1998,34691.0,-0.022072503805604105
1999,43299.0,0.248133521662679
2000,55558.0,0.2831243215778656
2001,52428.0,-0.056337521149069425
2002,51907.0,-0.00993743801022351
2003,59732.0,0.15075038048818068
2004,58427.0,-0.021847585883613463
2005,54515.0,-0.06695534598730035
2006,53211.0,-0.023920022012290154
2007,62340.0,0.17156227095901233
2008,57384.0,-0.07949951876804617
2009,47994.0,-0.1636344625679632
2010,44081.0,-0.08153102471142226
2011,49559.0,0.12427122796669776
2012,42777.0,-0.13684699045582038
2013,38343.0,-0.1036538326670875
2014,51646.0,0.3469472915525651
2015,52950.0,0.025248809201099842
2016,52950.0,0.0
1980,16245.0,-0.6932011331444758
1981,19577.0,0.20510926438904287
1982,20827.0,0.0638504367369872
1983,23326.0,0.11998847649685507
1984,24576.0,0.053588270599331134
1985,22077.0,-0.1016845703125
1986,21660.0,-0.018888435928794634
1987,22910.0,0.057710064635272396
1988,29574.0,0.29087734613705796
1989,36655.0,0.23943328599445457
1990,43737.0,0.19320692947756113
1991,42070.0,-0.038114182499942806
1992,42070.0,0.0
1993,42487.0,0.009912051342999773
1994,44570.0,0.04902676112693305
1995,62253.0,0.39674669059905776
1996,51113.0,-0.17894719933175907
1997,46799.0,-0.08440122865024557
1998,50131.0,0.07119810252355818
1999,55749.0,0.1120663860685005
2000,59209.0,0.062063893522753766
2001,63449.0,0.07161073485449854
2002,63321.0,-0.0020173682800359583
2003,60640.0,-0.04233982407100334
2004,59028.0,-0.026583113456464358
2005,59807.0,0.013197126787287461
2006,55930.0,-0.06482518768706003
2007,56582.0,0.011657428929018332
2008,61078.0,0.07945989890777994
2009,53666.0,-0.12135302400209569
2010,40925.0,-0.23741288711661013
2011,36215.0,-0.11508857666463046
2012,,0.0
2013,,0.0
2014,,0.0
2015,,0.0
2016,,0.0
